InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
INV100034,P1014,Phone Case,3,2023-05-31,471.8,10146,Italy,1415.4
INV100035,P1015,Backpack,6,2023-12-04,398.56,10058,France,2391.36
INV100036,P1016,Phone Case,8,2023-02-19,94.72,10063,Netherlands,757.76
INV100037,P1017,Mouse,2,2023-07-25,357.44,10085,Italy,714.88
INV100038,P1018,Mouse,5,2023-12-01,195.55,10008,France,977.75
INV100039,P1019,Keyboard,1,2023-03-20,204.14,10128,Spain,204.14
INV100040,P1000,Laptop,1,2023-03-11,392.73,10169,France,392.73
INV100041,P1001,Smartwatch,5,2023-01-27,481.58,10001,Norway,2407.9
INV100042,P1002,Keyboard,3,2023-09-28,67.69,10179,France,203.07
INV100043,P1003,Phone Case,4,2023-02-19,213.21,10058,Italy,852.84
INV100044,P1004,Keyboard,3,2023-10-19,243.07,10151,Spain,729.21
INV100045,P1005,Monitor,1,2023-09-04,191.27,10092,Norway,191.27
INV100046,P1006,Monitor,1,2023-09-21,184.78,10127,Netherlands,184.78
INV100047,P1007,Monitor,5,2023-03-20,30.87,10100,Netherlands,154.35
INV100048,P1008,Backpack,6,2023-07-09,344.34,10051,Spain,2066.04
INV100049,P1009,Headphones,3,2023-02-16,220.93,10153,Norway,662.79
INV100050,P1010,Smartwatch,9,2023-12-27,101.42,10107,Norway,912.78
INV100051,P1011,Monitor,5,2023-12-20,408.94,10187,Germany,2044.7
INV100052,P1012,Headphones,8,2023-12-18,402.27,10072,United Kingdom,3218.16
INV100053,P1013,Smartwatch,1,2023-07-08,245.76,10052,Germany,245.76
INV100054,P1014,Headphones,5,2023-09-13,152.73,10054,Spain,763.65
INV100055,P1015,Charger,3,2023-08-10,320.86,10171,Netherlands,962.58
INV100056,P1016,Headphones,1,2023-08-29,147.64,10146,Netherlands,147.64
INV100057,P1017,Laptop,4,2023-09-26,121.82,10083,Germany,487.28
INV100058,P1018,Phone Case,5,2023-01-01,366.6,10087,Italy,1833.0
INV100059,P1019,Headphones,7,2023-02-03,24.96,10131,France,174.72
INV100060,P1000,Backpack,1,2023-03-20,51.91,10014,Netherlands,51.91
INV100061,P1001,Laptop,3,2023-08-24,8.36,10189,United Kingdom,25.08
INV100062,P1002,Monitor,2,2023-11-30,80.71,10121,Norway,161.42
INV100063,P1003,Backpack,9,2023-12-15,39.15,10184,United Kingdom,352.34999999999997
INV100064,P1004,Smartwatch,6,2023-04-08,497.92,10128,Norway,2987.52
INV100065,P1005,Charger,3,2023-03-23,147.96,10189,Netherlands,443.88
INV100066,P1006,Mouse,8,2023-07-11,78.89,10092,Germany,631.12
INV100067,P1007,Charger,8,2023-09-10,124.29,10115,United Kingdom,994.32
INV100068,P1008,Phone Case,2,2023-02-07,468.38,10185,Norway,936.76
INV100069,P1009,Headphones,6,2023-01-14,262.48,10004,Spain,1574.88
INV100070,P1010,Monitor,7,2023-12-13,185.58,10034,Germany,1299.0600000000002
INV100071,P1011,Phone Case,2,2023-11-06,437.33,10129,Spain,874.66
INV100072,P1012,Mouse,2,2023-07-28,200.52,10189,France,401.04
INV100073,P1013,Monitor,1,2023-12-23,170.83,10027,Netherlands,170.83
INV100074,P1014,Smartwatch,8,2023-03-30,107.6,10053,Spain,860.8
INV100075,P1015,Charger,1,2023-02-25,192.01,10147,Netherlands,192.01
INV100076,P1016,Mouse,9,2023-04-04,161.76,10174,Spain,1455.84
INV100077,P1017,Keyboard,6,2023-04-03,340.27,10154,Spain,2041.62
INV100078,P1018,Backpack,7,2023-12-06,148.34,10198,Spain,1038.38
INV100079,P1019,Keyboard,7,2023-03-26,290.71,10029,United Kingdom,2034.9699999999998
INV100080,P1000,Mouse,3,2023-09-02,37.62,10151,Germany,112.85999999999999
INV100081,P1001,Monitor,2,2023-01-22,99.69,10122,Spain,199.38
INV100082,P1002,Backpack,9,2023-10-18,206.67,10187,France,1860.03
INV100083,P1003,Mouse,8,2023-09-29,468.79,10129,Spain,3750.32
INV100084,P1004,Mouse,7,2023-11-02,191.74,10062,France,1342.18
INV100085,P1005,Backpack,9,2023-05-02,333.72,10089,Italy,3003.4800000000005
INV100086,P1006,Mouse,4,2023-05-08,131.27,10070,France,525.08
INV100087,P1007,Phone Case,4,2023-04-23,67.88,10189,Germany,271.52
INV100088,P1008,Charger,1,2023-09-30,33.98,10053,United Kingdom,33.98
INV100089,P1009,Backpack,8,2023-12-02,156.18,10027,Italy,1249.44
INV100090,P1010,Smartwatch,3,2023-05-10,83.04,10147,Norway,249.12
INV100091,P1011,Smartwatch,7,2023-05-12,91.14,10026,Germany,637.98
INV100092,P1012,Charger,2,2023-03-26,381.58,10020,United Kingdom,763.16
INV100093,P1013,Headphones,2,2023-12-16,12.84,10153,France,25.68
INV100094,P1014,Charger,7,2023-03-22,281.12,10159,Italy,1967.8400000000001
INV100095,P1015,Keyboard,6,2023-11-21,192.83,10189,Netherlands,1156.98
INV100096,P1016,Phone Case,3,2023-03-10,255.74,10041,Spain,767.22
INV100097,P1017,Smartwatch,9,2023-05-28,283.6,10002,Italy,2552.4
INV100098,P1018,Laptop,6,2023-01-16,160.12,10185,France,960.72
INV100099,P1019,Keyboard,6,2023-11-03,151.08,10014,Italy,906.48
INV100100,P1000,Backpack,1,2023-04-15,368.03,10174,United Kingdom,368.03
INV100101,P1001,Mouse,4,2023-06-14,436.28,10183,Germany,1745.12
INV100102,P1002,Keyboard,6,2023-07-20,100.33,10074,Germany,601.98
INV100103,P1003,Backpack,6,2023-07-16,53.32,10050,Netherlands,319.92
INV100104,P1004,Smartwatch,5,2023-07-04,449.41,10002,Norway,2247.05
INV100105,P1005,Laptop,1,2023-11-18,178.2,10160,Netherlands,178.2
INV100106,P1006,Charger,8,2023-09-22,277.9,10153,Netherlands,2223.2
INV100107,P1007,Smartwatch,5,2023-12-29,182.97,10094,Spain,914.85
INV100108,P1008,Keyboard,5,2023-04-10,67.27,10044,France,336.34999999999997
INV100109,P1009,Charger,7,2023-12-08,296.72,10102,Germany,2077.04
INV100110,P1010,Mouse,4,2023-11-16,264.94,10050,Italy,1059.76
INV100111,P1011,Mouse,6,2023-08-02,105.48,10012,Spain,632.88
INV100112,P1012,Monitor,4,2023-10-05,228.68,10160,Italy,914.72
INV100113,P1013,Laptop,3,2023-06-11,399.49,10123,Netherlands,1198.47
INV100114,P1014,Phone Case,7,2023-06-06,297.26,10141,Italy,2080.8199999999997
INV100115,P1015,Laptop,8,2023-09-08,52.97,10014,Netherlands,423.76
INV100116,P1016,Mouse,4,2023-04-07,276.27,10017,France,1105.08
INV100117,P1017,Laptop,2,2023-01-18,352.86,10026,France,705.72
INV100118,P1018,Phone Case,3,2023-11-23,397.39,10139,Spain,1192.17
INV100119,P1019,Backpack,1,2023-04-07,316.41,10189,Italy,316.41
INV100120,P1000,Laptop,8,2023-01-01,80.57,10154,United Kingdom,644.56
INV100121,P1001,Headphones,3,2023-08-04,356.54,10147,Italy,1069.6200000000001
INV100122,P1002,Backpack,7,2023-05-12,340.28,10159,France,2381.96
INV100123,P1003,Keyboard,5,2023-09-17,17.09,10040,Italy,85.45
INV100124,P1004,Backpack,5,2023-05-05,208.82,10086,Italy,1044.1
INV100125,P1005,Mouse,7,2023-03-23,169.81,10034,Netherlands,1188.67
INV100126,P1006,Keyboard,9,2023-10-10,336.36,10091,Netherlands,3027.2400000000002
INV100127,P1007,Headphones,5,2023-06-20,111.99,10112,Italy,559.9499999999999
INV100128,P1008,Mouse,1,2023-02-28,297.48,10095,Germany,297.48
INV100129,P1009,Monitor,1,2023-02-01,457.04,10037,Norway,457.04
INV100130,P1010,Phone Case,2,2023-06-10,399.91,10122,United Kingdom,799.82
INV100131,P1011,Mouse,6,2023-10-11,461.12,10198,Italy,2766.7200000000003
INV100132,P1012,Monitor,9,2023-04-16,489.36,10123,Norway,4404.24
INV100133,P1013,Charger,8,2023-04-15,10.28,10131,Norway,82.24
INV100134,P1014,Keyboard,5,2023-08-16,313.26,10167,United Kingdom,1566.3
INV100135,P1015,Monitor,1,2023-07-07,209.36,10061,Netherlands,209.36
INV100136,P1016,Monitor,7,2023-03-11,430.63,10146,Germany,3014.41
INV100137,P1017,Headphones,5,2023-11-14,129.65,10199,Germany,648.25
INV100138,P1018,Mouse,6,2023-10-17,490.61,10062,Italy,2943.66
INV100139,P1019,Phone Case,7,2023-03-28,308.79,10159,Italy,2161.53
INV100140,P1000,Phone Case,3,2023-12-28,397.8,10039,Norway,1193.4
INV100141,P1001,Mouse,3,2023-02-25,47.37,10121,United Kingdom,142.10999999999999
INV100142,P1002,Charger,5,2023-04-23,95.81,10159,United Kingdom,479.05
INV100143,P1003,Smartwatch,6,2023-01-13,380.41,10095,France,2282.46
INV100144,P1004,Smartwatch,9,2023-01-18,15.88,10037,Italy,142.92000000000002
INV100145,P1005,Charger,5,2023-07-01,409.35,10038,Norway,2046.75
INV100146,P1006,Smartwatch,1,2023-04-23,11.9,10187,Italy,11.9
INV100147,P1007,Backpack,4,2023-08-17,330.27,10112,Spain,1321.08
INV100148,P1008,Charger,5,2023-06-20,185.72,10120,Norway,928.6
INV100149,P1009,Charger,5,2023-10-22,307.69,10063,Netherlands,1538.45
INV100150,P1010,Mouse,7,2023-07-08,349.54,10102,Norway,2446.78
INV100151,P1011,Monitor,4,2023-03-20,174.53,10052,Netherlands,698.12
INV100152,P1012,Mouse,1,2023-05-26,58.44,10187,Italy,58.44
INV100153,P1013,Keyboard,5,2023-07-01,39.47,10095,United Kingdom,197.35
INV100154,P1014,Monitor,7,2023-10-13,296.52,10089,Spain,2075.64
INV100155,P1015,Phone Case,6,2023-09-07,262.72,10185,Norway,1576.3200000000002
INV100156,P1016,Laptop,5,2023-12-20,372.39,10092,United Kingdom,1861.9499999999998
INV100157,P1017,Headphones,4,2023-11-10,257.32,10128,France,1029.28
INV100158,P1018,Keyboard,2,2023-07-15,214.11,10115,France,428.22
INV100159,P1019,Backpack,4,2023-11-19,202.05,10038,France,808.2
INV100160,P1000,Phone Case,3,2023-03-12,18.09,10142,Germany,54.269999999999996
INV100161,P1001,Smartwatch,1,2023-09-05,171.1,10081,Italy,171.1
INV100162,P1002,Phone Case,8,2023-05-26,488.13,10129,Italy,3905.04
INV100163,P1003,Keyboard,5,2023-04-16,437.41,10122,Spain,2187.05
INV100164,P1004,Charger,4,2023-09-20,168.04,10127,Norway,672.16
INV100165,P1005,Monitor,8,2023-10-23,295.96,10014,Italy,2367.68
INV100166,P1006,Mouse,7,2023-03-11,424.41,10043,Norway,2970.8700000000003
INV100167,P1007,Charger,2,2023-07-12,223.43,10189,United Kingdom,446.86
INV100168,P1008,Laptop,1,2023-03-09,13.89,10102,Spain,13.89
INV100169,P1009,Charger,4,2023-11-01,41.88,10102,Netherlands,167.52
INV100170,P1010,Mouse,8,2023-02-21,257.64,10028,Norway,2061.12
INV100171,P1011,Phone Case,2,2023-12-29,484.87,10027,United Kingdom,969.74
INV100172,P1012,Headphones,3,2023-10-12,348.14,10150,United Kingdom,1044.42
INV100173,P1013,Phone Case,1,2023-11-30,40.1,10062,France,40.1
INV100174,P1014,Keyboard,1,2023-01-09,98.73,10130,Norway,98.73
INV100175,P1015,Phone Case,3,2023-09-08,386.8,10122,Italy,1160.4
INV100176,P1016,Backpack,5,2023-11-28,421.51,10150,Netherlands,2107.55
INV100177,P1017,Monitor,3,2023-10-25,310.76,10057,United Kingdom,932.28
INV100178,P1018,Backpack,1,2023-07-03,323.99,10069,Norway,323.99
INV100179,P1019,Charger,1,2023-06-28,19.03,10097,United Kingdom,19.03
INV100180,P1000,Smartwatch,8,2023-07-17,415.12,10087,United Kingdom,3320.96
INV100181,P1001,Smartwatch,2,2023-05-08,395.2,10065,Italy,790.4
INV100182,P1002,Laptop,3,2023-01-20,133.22,10189,Norway,399.65999999999997
INV100183,P1003,Smartwatch,2,2023-11-24,355.79,10189,Netherlands,711.58
INV100184,P1004,Mouse,3,2023-03-06,111.35,10047,United Kingdom,334.04999999999995
INV100185,P1005,Mouse,7,2023-07-01,24.96,10190,Spain,174.72
INV100186,P1006,Monitor,1,2023-08-29,104.56,10159,Italy,104.56
INV100187,P1007,Charger,8,2023-01-24,93.42,10129,Norway,747.36
INV100188,P1008,Mouse,2,2023-03-24,172.19,10112,United Kingdom,344.38
INV100189,P1009,Smartwatch,3,2023-11-15,212.13,10098,Spain,636.39
INV100190,P1010,Smartwatch,9,2023-07-04,256.73,10112,Netherlands,2310.57
INV100191,P1011,Laptop,7,2023-11-12,240.99,10159,Germany,1686.93
INV100192,P1012,Headphones,4,2023-04-09,138.98,10161,France,555.92
INV100193,P1013,Mouse,5,2023-03-03,19.44,10189,Netherlands,97.2
INV100194,P1014,Laptop,2,2023-10-13,304.53,10038,Italy,609.06
INV100195,P1015,Mouse,8,2023-01-22,200.89,10032,Spain,1607.12
INV100196,P1016,Monitor,4,2023-07-31,152.84,10156,United Kingdom,611.36
INV100197,P1017,Keyboard,9,2023-05-06,434.14,10157,Norway,3907.2599999999998
INV100198,P1018,Backpack,5,2023-02-11,374.64,10122,France,1873.1999999999998
INV100199,P1019,Charger,9,2023-04-08,429.59,10102,United Kingdom,3866.31
INV100200,P1000,Monitor,4,2023-01-31,250.02,10189,Netherlands,1000.08
INV100201,P1001,Laptop,5,2023-06-07,69.81,10047,Netherlands,349.05
INV100202,P1002,Charger,9,2023-04-22,349.63,10023,Norway,3146.67
INV100203,P1003,Keyboard,8,2023-09-04,107.01,10194,Germany,856.08
INV100204,P1004,Mouse,3,2023-05-02,223.41,10097,Italy,670.23
INV100205,P1005,Monitor,1,2023-09-30,37.18,10062,Netherlands,37.18
INV100206,P1006,Mouse,3,2023-10-21,413.53,10151,Italy,1240.59
INV100207,P1007,Monitor,4,2023-07-26,67.34,10040,Norway,269.36
INV100208,P1008,Charger,2,2023-04-20,452.03,10071,Germany,904.06
INV100209,P1009,Smartwatch,1,2023-10-05,432.79,10183,Italy,432.79
INV100210,P1010,Phone Case,7,2023-02-25,234.97,10059,Germany,1644.79
INV100211,P1011,Backpack,8,2023-02-26,373.46,10159,Netherlands,2987.68
INV100212,P1012,Charger,7,2023-10-18,311.63,10150,Spain,2181.41
INV100213,P1013,Keyboard,5,2023-04-24,402.52,10162,Netherlands,2012.6
INV100214,P1014,Backpack,1,2023-11-04,218.74,10184,Germany,218.74
INV100215,P1015,Smartwatch,7,2023-12-07,393.98,10115,Germany,2757.86
INV100216,P1016,Backpack,7,2023-07-17,233.92,10146,France,1637.4399999999998
INV100217,P1017,Laptop,9,2023-11-17,470.78,10187,Germany,4237.0199999999995
INV100218,P1018,Laptop,3,2023-06-28,245.75,10011,United Kingdom,737.25
INV100219,P1019,Mouse,9,2023-08-07,234.0,10169,Norway,2106.0
INV100220,P1000,Headphones,1,2023-10-04,393.61,10026,Netherlands,393.61
INV100221,P1001,Laptop,1,2023-01-16,411.68,10197,Italy,411.68
INV100222,P1002,Headphones,4,2023-03-02,279.47,10102,Spain,1117.88
INV100223,P1003,Smartwatch,9,2023-02-23,94.0,10089,Spain,846.0
INV100224,P1004,Smartwatch,6,2023-06-17,236.54,10122,France,1419.24
INV100225,P1005,Backpack,3,2023-01-26,484.2,10162,France,1452.6
INV100226,P1006,Keyboard,1,2023-12-02,377.73,10146,France,377.73
INV100227,P1007,Backpack,4,2023-03-06,406.53,10186,France,1626.12
INV100228,P1008,Charger,9,2023-04-10,21.25,10151,Germany,191.25
INV100229,P1009,Headphones,3,2023-03-15,236.59,10080,Spain,709.77
INV100230,P1010,Backpack,9,2023-07-11,325.08,10011,France,2925.72
INV100231,P1011,Phone Case,7,2023-06-20,415.87,10153,Netherlands,2911.09
INV100232,P1012,Backpack,4,2023-09-30,29.39,10107,Germany,117.56
INV100233,P1013,Keyboard,3,2023-07-06,426.96,10053,United Kingdom,1280.8799999999999
INV100234,P1014,Charger,5,2023-01-23,276.46,10081,Norway,1382.3
INV100235,P1015,Backpack,5,2023-06-30,102.67,10002,Italy,513.35
INV100236,P1016,Smartwatch,3,2023-11-23,162.04,10146,Germany,486.12
INV100237,P1017,Laptop,9,2023-04-18,144.56,10027,France,1301.04
INV100238,P1018,Backpack,4,2023-12-01,267.78,10159,Spain,1071.12
INV100239,P1019,Mouse,5,2023-06-11,30.58,10169,Norway,152.89999999999998
INV100240,P1000,Monitor,4,2023-10-29,83.48,10059,Spain,333.92
INV100241,P1001,Keyboard,5,2023-07-25,407.28,10141,France,2036.3999999999999
INV100242,P1002,Backpack,7,2023-03-19,70.64,10028,United Kingdom,494.48
INV100243,P1003,Monitor,9,2023-01-16,120.53,10130,Germany,1084.77
INV100244,P1004,Smartwatch,7,2023-11-23,229.42,10051,Norway,1605.9399999999998
INV100245,P1005,Mouse,5,2023-04-06,260.97,10081,Norway,1304.8500000000001
INV100246,P1006,Keyboard,7,2023-05-27,382.99,10059,Italy,2680.9300000000003
INV100247,P1007,Laptop,5,2023-01-02,226.43,10099,Spain,1132.15
INV100248,P1008,Keyboard,3,2023-01-10,395.98,10051,Spain,1187.94
INV100249,P1009,Keyboard,7,2023-05-05,311.08,10049,Netherlands,2177.56
INV100250,P1010,Headphones,2,2023-03-22,60.98,10158,Spain,121.96
INV100251,P1011,Headphones,9,2023-05-20,82.38,10020,Spain,741.42
INV100252,P1012,Mouse,1,2023-11-22,221.33,10115,France,221.33
INV100253,P1013,Backpack,6,2023-05-30,201.46,10053,United Kingdom,1208.76
INV100254,P1014,Backpack,7,2023-10-15,373.05,10141,France,2611.35
INV100255,P1015,Phone Case,8,2023-12-27,292.46,10014,Norway,2339.68
INV100256,P1016,Phone Case,9,2023-12-06,197.13,10040,Spain,1774.17
INV100257,P1017,Backpack,2,2023-05-09,89.53,10062,France,179.06
INV100258,P1018,Laptop,2,2023-08-27,117.28,10135,Norway,234.56
INV100259,P1019,Phone Case,5,2023-02-27,289.87,10196,United Kingdom,1449.35
INV100260,P1000,Smartwatch,5,2023-07-17,214.6,10159,United Kingdom,1073.0
INV100261,P1001,Phone Case,6,2023-07-30,259.89,10091,Spain,1559.34
INV100262,P1002,Smartwatch,3,2023-02-14,89.49,10013,Germany,268.46999999999997
INV100263,P1003,Keyboard,8,2023-04-07,333.14,10059,Netherlands,2665.12
INV100264,P1004,Headphones,1,2023-10-06,427.01,10080,Spain,427.01
INV100265,P1005,Keyboard,6,2023-01-23,132.68,10146,United Kingdom,796.08
INV100266,P1006,Mouse,4,2023-12-01,248.3,10199,Italy,993.2
INV100267,P1007,Charger,1,2023-02-13,487.89,10106,Germany,487.89
INV100268,P1008,Phone Case,7,2023-01-27,169.95,10052,Norway,1189.6499999999999
INV100269,P1009,Backpack,9,2023-10-09,299.55,10115,Germany,2695.9500000000003
INV100270,P1010,Monitor,4,2023-04-07,49.65,10053,Norway,198.6
INV100271,P1011,Mouse,4,2023-02-05,304.98,10094,Netherlands,1219.92
INV100272,P1012,Mouse,6,2023-04-19,49.37,10162,Italy,296.21999999999997
INV100273,P1013,Laptop,3,2023-02-24,479.82,10192,Spain,1439.46
INV100274,P1014,Headphones,6,2023-07-11,359.25,10039,France,2155.5
INV100275,P1015,Monitor,7,2023-08-07,395.14,10159,France,2765.98
INV100276,P1016,Phone Case,3,2023-07-04,353.53,10063,Germany,1060.59
INV100277,P1017,Smartwatch,7,2023-03-10,296.92,10169,United Kingdom,2078.44
INV100278,P1018,Keyboard,3,2023-11-13,227.71,10129,Italy,683.13
INV100279,P1019,Laptop,2,2023-05-10,429.89,10020,Spain,859.78
INV100280,P1000,Laptop,4,2023-02-24,478.63,10037,Spain,1914.52
INV100281,P1001,Laptop,8,2023-04-07,252.02,10128,Netherlands,2016.16
INV100282,P1002,Headphones,9,2023-12-02,466.11,10026,Netherlands,4194.99
INV100283,P1003,Headphones,7,2023-03-28,293.75,10138,United Kingdom,2056.25
INV100284,P1004,Monitor,1,2023-10-21,271.5,10099,United Kingdom,271.5
INV100285,P1005,Laptop,3,2023-04-29,229.97,10188,Italy,689.91
INV100286,P1006,Backpack,9,2023-07-27,108.6,10128,Germany,977.4
INV100287,P1007,Laptop,1,2023-11-30,6.84,10186,United Kingdom,6.84
INV100288,P1008,Laptop,9,2023-06-03,124.55,10091,Spain,1120.95
INV100289,P1009,Mouse,8,2023-02-04,257.31,10149,France,2058.48
INV100290,P1010,Backpack,1,2023-03-20,193.08,10187,Italy,193.08
INV100291,P1011,Mouse,6,2023-03-08,227.0,10138,Norway,1362.0
INV100292,P1012,Monitor,5,2023-12-09,490.42,10067,Netherlands,2452.1
INV100293,P1013,Backpack,6,2023-02-03,178.38,10141,Germany,1070.28
INV100294,P1014,Smartwatch,5,2023-04-07,228.83,10186,United Kingdom,1144.15
INV100295,P1015,Smartwatch,6,2023-06-18,71.09,10136,Germany,426.54
INV100296,P1016,Keyboard,5,2023-06-18,28.74,10159,France,143.7
INV100297,P1017,Keyboard,5,2023-05-31,388.83,10057,Italy,1944.1499999999999
INV100298,P1018,Smartwatch,4,2023-03-12,287.49,10187,Netherlands,1149.96
INV100299,P1019,Laptop,3,2023-01-03,381.55,10170,Italy,1144.65
INV100300,P1000,Keyboard,3,2023-11-10,79.18,10047,Netherlands,237.54000000000002
INV100301,P1001,Phone Case,4,2023-02-01,288.06,10194,Spain,1152.24
INV100302,P1002,Mouse,9,2023-10-14,130.55,10125,Spain,1174.95
INV100303,P1003,Mouse,2,2023-03-23,117.89,10146,Netherlands,235.78
INV100304,P1004,Charger,9,2023-02-12,10.71,10157,France,96.39000000000001
INV100305,P1005,Mouse,1,2023-04-15,69.52,10027,Italy,69.52
INV100306,P1006,Mouse,1,2023-01-01,158.09,10004,Spain,158.09
INV100307,P1007,Monitor,5,2023-03-02,62.85,10002,Germany,314.25
INV100308,P1008,Backpack,6,2023-09-27,493.0,10131,United Kingdom,2958.0
INV100309,P1009,Phone Case,6,2023-06-29,157.77,10027,Spain,946.6200000000001
INV100310,P1010,Monitor,3,2023-08-12,69.51,10038,Italy,208.53000000000003
INV100311,P1011,Headphones,7,2023-01-06,103.55,10032,France,724.85
INV100312,P1012,Backpack,9,2023-04-13,295.91,10017,Germany,2663.19
INV100313,P1013,Charger,8,2023-01-10,36.7,10123,Netherlands,293.6
INV100314,P1014,Laptop,6,2023-03-12,431.9,10151,France,2591.3999999999996
INV100315,P1015,Mouse,8,2023-03-31,480.94,10115,France,3847.52
INV100316,P1016,Phone Case,5,2023-08-14,127.14,10174,Netherlands,635.7
INV100317,P1017,Smartwatch,8,2023-06-07,227.8,10167,Spain,1822.4
INV100318,P1018,Keyboard,4,2023-08-16,15.96,10167,France,63.84
INV100319,P1019,Mouse,8,2023-05-06,322.15,10080,United Kingdom,2577.2
INV100320,P1000,Headphones,2,2023-07-28,209.89,10038,United Kingdom,419.78
INV100321,P1001,Smartwatch,5,2023-04-07,138.68,10001,United Kingdom,693.4000000000001
INV100322,P1002,Keyboard,9,2023-03-15,107.38,10189,Netherlands,966.42
INV100323,P1003,Charger,4,2023-04-25,328.74,10091,Netherlands,1314.96
INV100324,P1004,Headphones,6,2023-07-10,211.03,10001,United Kingdom,1266.18
INV100325,P1005,Mouse,1,2023-06-19,93.93,10014,France,93.93
INV100326,P1006,Headphones,9,2023-11-03,346.11,10190,Netherlands,3114.9900000000002
INV100327,P1007,Laptop,1,2023-07-23,284.71,10112,Norway,284.71
INV100328,P1008,Phone Case,5,2023-02-25,430.04,10170,Netherlands,2150.2000000000003
INV100329,P1009,Mouse,4,2023-07-27,63.15,10153,Norway,252.6
INV100330,P1010,Monitor,3,2023-02-10,393.9,10119,Germany,1181.6999999999998
INV100331,P1011,Headphones,6,2023-02-01,338.39,10053,Italy,2030.34
INV100332,P1012,Charger,2,2023-01-15,61.93,10123,United Kingdom,123.86
INV100333,P1013,Keyboard,3,2023-03-03,348.94,10004,Germany,1046.82
INV100334,P1014,Backpack,5,2023-06-04,223.57,10186,Netherlands,1117.85
INV100335,P1015,Backpack,9,2023-10-11,472.77,10198,Spain,4254.93
INV100336,P1016,Monitor,2,2023-07-28,75.1,10088,Germany,150.2
INV100337,P1017,Monitor,8,2023-11-16,323.2,10156,Germany,2585.6
INV100338,P1018,Headphones,2,2023-07-06,194.08,10128,Italy,388.16
INV100339,P1019,Backpack,5,2023-05-10,478.62,10095,Norway,2393.1
INV100340,P1000,Smartwatch,7,2023-05-07,168.34,10151,Norway,1178.38
INV100341,P1001,Backpack,8,2023-10-19,481.28,10134,Germany,3850.24
INV100342,P1002,Mouse,1,2023-04-24,451.24,10103,Norway,451.24
INV100343,P1003,Backpack,6,2023-07-18,138.84,10086,Netherlands,833.04
INV100344,P1004,Keyboard,1,2023-01-13,402.75,10199,Netherlands,402.75
INV100345,P1005,Headphones,2,2023-09-28,497.82,10102,Norway,995.64
INV100346,P1006,Monitor,1,2023-03-30,130.07,10102,Spain,130.07
INV100347,P1007,Keyboard,5,2023-08-03,221.2,10061,Netherlands,1106.0
